Accession	Genus	GenusTaxID
NC_061688	Zanthoxylum	159071
NC_084337	Carthamus	1809698
NC_046773	Eichhornia	44947
NC_084458	Plumbago	76149
NC_084456	Camellia	147915
NC_084455	Camellia	147917
NC_084454	Spiraea	1161166
NC_084453	Spiraea	409518
NC_084440	Eremophila	3092756
NC_084439	Trollius	216500
NC_084438	Trollius	944287
NC_084437	Trollius	2803541
NC_084436	Trollius	39385
NC_084435	Trollius	212756
NC_084434	Trollius	3092757
NC_084433	Trollius	1439931
NC_084432	Trollius	46346
NC_084431	Trollius	270100
NC_084430	Trollius	944283
NC_084429	Trollius	2291174
