TaxonID	GenusName
3119058	Mahechadendron
3116459	Sinoseris
3113648	Medakamo
3104236	Lycopodioides
3100097	Zea x Tripsacum
3098969	Anatherum
3093825	Januaria
3092018	Tragacantha
3089780	Petelotiella
3089580	Gretheria
3087188	Binuclearia
3083166	Hurkaea
3082625	Vandenhoekia
3082578	Neltuma
3082238	Urostephanus
3082012	Xylanche
3081175	Lophiolepis
3080798	Cataracta
3080519	Devolia
3080518	Calligrammitis
3080517	Thalassogrammitis
3080516	Rouhania
3080514	Nanogrammitis
3080513	Howeogrammitis
3080512	Grammitastrum
3080511	Boonkerdia
3080510	Aenigmatogrammitis
3079033	Weizhia
3078870	Tournaya
3076700	Sanrobertia
3075449	Uvulifera
3073813	Hydrocytium
3073087	Rockhausenia
3069441	Pentacme
3069368	Richetia
3069367	Anthoshorea
3069366	Neohopea
3068352	Rubroshorea
3067306	Nymphanthus
3067305	Nellica
3067304	Moeroris
3067303	Lysiandra
3067301	Kirganelia
3067300	Emblica
3067299	Dendrophyllanthus
3067298	Cicca
3067297	Cathetus
3061238	Hsuehochloa
3060617	Rubellia
